,date,hour,source,target
0,2004-04-15,14,1,2
1,2004-04-16,22,3,4
2,2004-04-19,22,5,2
3,2004-04-20,5,6,7
4,2004-04-20,5,8,7
5,2004-04-20,5,9,10
6,2004-04-20,5,9,11
7,2004-04-20,6,12,13
8,2004-04-20,6,9,14
9,2004-04-20,6,9,15
10,2004-04-20,6,9,16
11,2004-04-20,6,9,17
12,2004-04-20,6,9,14
13,2004-04-20,6,9,18
14,2004-04-20,6,19,18
15,2004-04-20,7,20,21
16,2004-04-20,8,19,22
17,2004-04-20,8,8,23
18,2004-04-20,8,9,24
19,2004-04-20,8,9,22
20,2004-04-20,13,25,21
21,2004-04-20,17,26,7
22,2004-04-20,19,27,28
23,2004-04-20,23,29,25
24,2004-04-21,3,30,31
25,2004-04-21,3,30,31
26,2004-04-21,3,30,31
27,2004-04-21,3,30,31
28,2004-04-21,3,32,33
29,2004-04-21,5,34,35
30,2004-04-21,5,34,33
31,2004-04-21,7,36,37
32,2004-04-21,9,38,39
33,2004-04-21,9,36,40
34,2004-04-21,9,41,15
35,2004-04-21,9,41,11
36,2004-04-21,9,41,14
37,2004-04-21,9,41,13
38,2004-04-21,9,41,39
39,2004-04-21,19,41,42
40,2004-04-21,19,41,43
41,2004-04-21,21,9,40
42,2004-04-21,22,44,45
43,2004-04-21,22,46,22
44,2004-04-21,22,44,46
45,2004-04-21,23,47,46
46,2004-04-21,23,48,46
47,2004-04-22,1,9,49
48,2004-04-22,1,36,50
49,2004-04-22,1,44,51
50,2004-04-22,1,32,52
51,2004-04-22,1,36,32
52,2004-04-22,1,53,54
53,2004-04-22,1,36,55
54,2004-04-22,1,56,57
55,2004-04-22,1,36,32
56,2004-04-22,1,36,58
57,2004-04-22,1,44,59
58,2004-04-22,1,51,58
59,2004-04-22,1,44,14
60,2004-04-22,2,36,56
61,2004-04-22,2,36,60
62,2004-04-22,2,56,61
63,2004-04-22,2,62,50
64,2004-04-22,2,36,60
65,2004-04-22,2,32,59
66,2004-04-22,2,36,60
67,2004-04-22,2,36,50
68,2004-04-22,2,41,63
69,2004-04-22,2,41,64
70,2004-04-22,2,41,65
71,2004-04-22,2,41,56
72,2004-04-22,2,41,61
73,2004-04-22,2,41,43
74,2004-04-22,3,41,52
75,2004-04-22,3,41,58
76,2004-04-22,3,41,59
77,2004-04-22,3,9,64
78,2004-04-22,3,9,58
79,2004-04-22,3,12,66
80,2004-04-22,3,32,58
81,2004-04-22,3,12,66
82,2004-04-22,3,67,32
83,2004-04-22,3,41,32
84,2004-04-22,3,67,32
85,2004-04-22,3,32,68
86,2004-04-22,3,68,56
87,2004-04-22,3,67,32
88,2004-04-22,3,67,32
89,2004-04-22,3,68,61
